,Author_ID,Gender
0,37330700700,Male
1,37276931400,Male
2,37349028500,Male
3,37415825900,Male
4,37604050900,Male
5,37990793800,Male
6,37085341875,Male
7,37087101847,Male
8,37087102377,Male
9,38528612200,Female
10,37726527300,Male
11,37562414000,Male
12,37355330500,Male
13,37328954600,Female
14,37570533600,Female
15,38233231400,Male
16,37672002300,Female
17,37372586800,Male
18,37860557600,Male
19,37845978200,Male
20,37087101680,Male
21,37086235941,Female
22,37282594800,Female
23,38018021800,Male
24,37372277000,Male
25,37282576300,Male
26,37344836300,Male
27,37695663200,Male
28,37085670914,Male
29,37086142212,Male
30,37085890167,Male
31,37085689165,Male
32,37673708000,Male
33,38240697100,Male
34,38203084400,Female
35,37678660700,Female
36,37846851700,Male
37,38489757700,Male
38,38201832000,Male
39,37086246405,Female
40,37088756899,Female
41,37283034900,Male
42,37442718400,Female
43,37086911080,Female
44,37372281700,Male
45,38020418600,Male
46,37962435000,Female
47,37076964100,Male
48,37085709173,Female
49,37073898100,Male
50,37087101251,Male
51,37267188300,Male
52,37689382800,Female
53,37354028200,Male
54,37086987754,Male
55,37268212100,Male
56,37294120400,Male
57,38233965200,Female
58,38551542600,Male
59,38488560700,Male
60,37396024700,Male
61,37550755900,Male
62,37279025800,Male
63,37297344900,Male
64,38107165200,Male
65,38017009300,Male
66,37871719400,Male
67,38577465500,Female
68,37076098000,Male
69,37088656154,Female
70,37548257400,Male
71,37282541900,Male
72,37394495600,Male
73,37339549500,Male
74,37683413000,Male
75,38546613200,Male
76,37085723598,Male
77,37085898951,Male
78,37085900813,Male
79,38226914800,Male
80,37659261200,Male
81,37271669900,Male
82,37285510700,Male
83,37391623900,Male
84,38489014500,Male
85,37085416142,Male
86,37085692671,Male
87,37088656841,Male
88,37393897000,Female
89,37444665300,Male
90,37565304300,Male
91,37372061500,Male
92,37410289200,Male
93,37594968800,Female
94,37085674690,Female
95,37282613800,Male
96,37552979700,Male
97,37938687400,Male
98,37598369700,Female
99,37077936000,Male
100,37085462057,Female
101,37085883613,Male
102,37088655932,Male
103,38230307900,Male
104,38281584100,Male
105,37300292400,Male
106,37282552900,Female
107,37938665500,Male
108,37860424200,Male
109,37282510200,Female
110,38526134600,Male
111,37268765000,Male
112,37872455800,Female
113,38230927900,Male
114,37085729682,Male
115,37087101091,Male
116,37085822393,Male
117,38221881400,Male
118,37273480100,Male
